artist_old,artist_new
andr#U00e3#U00a9-lhote, andr-lhote
roger-bissi#U00e3#U00a8re, roger-bissi-re
eug#U00e3#U00a8ne, eug-ne-grasset
f#U00e3#U00a9lix-del-marle, f-lix-del-marle
ant#U00e3#U00b3nio-de-carvalho-da-silva-porto, ant-nio-de-carvalho-da-silva-porto
joaqu#U00e3#U00adn-sorolla, joaqu-n-sorolla
arnold-b#U00e3#U00b6cklin, arnold-bocklin
georges-lacombe#U00e2#U00a0, georges-lacombe
ferdinand-georg-waldm#U00e3#U00bcller, ferdinand-georg-waldm-ller
mestre-ata#U00e3#U00adde, mestre-ata-de
gr#U00e3#U00a9goire-michonze, gr-goire-michonze
joaqu#U00e3U00adn-sorolla, joaqu-n-sorolla
